comparison,metric,canonical_person_id,improvement
direct_vs_jepa_base,assignment_failure_rate,BioMotionLab_NTroje::rub053,0.295891214455
direct_vs_jepa_base,assignment_failure_rate,BioMotionLab_NTroje::rub054,0.258821353813
direct_vs_jepa_base,assignment_failure_rate,BioMotionLab_NTroje::rub070,0.284002318843
direct_vs_jepa_base,assignment_failure_rate,BioMotionLab_NTroje::rub072,0.297567087286
direct_vs_jepa_base,assignment_failure_rate,BioMotionLab_NTroje::rub075,0.256853938707
direct_vs_jepa_base,assignment_failure_rate,BioMotionLab_NTroje::rub086,0.248936243478
direct_vs_jepa_base,assignment_failure_rate,BioMotionLab_NTroje::rub098,0.2856961584
direct_vs_jepa_base,assignment_failure_rate,BioMotionLab_NTroje::rub106,0.247514607684
direct_vs_jepa_base,assignment_failure_rate,BioMotionLab_NTroje::rub115,0.275277185185
direct_vs_jepa_base,assignment_failure_rate,KIT::348,0.313156385119
direct_vs_jepa_base,assignment_failure_rate,KIT::6,0.329966849189
direct_vs_jepa_base,response_error,BioMotionLab_NTroje::rub002,4.35174541506
direct_vs_jepa_base,response_error,BioMotionLab_NTroje::rub023,5.32125099177
direct_vs_jepa_base,response_error,BioMotionLab_NTroje::rub044,2.05509804385
direct_vs_jepa_base,response_error,BioMotionLab_NTroje::rub053,-0.836270942484
direct_vs_jepa_base,response_error,BioMotionLab_NTroje::rub054,1.3146792352
direct_vs_jepa_base,response_error,BioMotionLab_NTroje::rub070,6.90366065326
direct_vs_jepa_base,response_error,BioMotionLab_NTroje::rub072,-0.625254516382
direct_vs_jepa_base,response_error,BioMotionLab_NTroje::rub075,10.2653414652
direct_vs_jepa_base,response_error,BioMotionLab_NTroje::rub086,4.65196912479
direct_vs_jepa_base,response_error,BioMotionLab_NTroje::rub098,0.716848505375
direct_vs_jepa_base,response_error,BioMotionLab_NTroje::rub106,0.859681952773
direct_vs_jepa_base,response_error,BioMotionLab_NTroje::rub115,0.98026562247
direct_vs_jepa_base,response_error,KIT::348,2.14539342466
direct_vs_jepa_base,response_error,KIT::6,5.95714264191
direct_vs_jepa_base,nuisance_error,BioMotionLab_NTroje::rub002,4.07115164149
direct_vs_jepa_base,nuisance_error,BioMotionLab_NTroje::rub023,6.96181085117
direct_vs_jepa_base,nuisance_error,BioMotionLab_NTroje::rub044,3.15079416575
direct_vs_jepa_base,nuisance_error,BioMotionLab_NTroje::rub053,0.745911089127
direct_vs_jepa_base,nuisance_error,BioMotionLab_NTroje::rub054,2.92659430637
direct_vs_jepa_base,nuisance_error,BioMotionLab_NTroje::rub070,7.03517764828
direct_vs_jepa_base,nuisance_error,BioMotionLab_NTroje::rub072,-0.0192292693236
direct_vs_jepa_base,nuisance_error,BioMotionLab_NTroje::rub075,11.6248812377
direct_vs_jepa_base,nuisance_error,BioMotionLab_NTroje::rub086,4.64175788573
direct_vs_jepa_base,nuisance_error,BioMotionLab_NTroje::rub098,2.91620472324
direct_vs_jepa_base,nuisance_error,BioMotionLab_NTroje::rub106,1.11440591474
direct_vs_jepa_base,nuisance_error,BioMotionLab_NTroje::rub115,1.50553643426
direct_vs_jepa_base,nuisance_error,KIT::348,-0.0199959629986
direct_vs_jepa_base,nuisance_error,KIT::6,4.78763941848
direct_vs_jepa_base,interaction_error,BioMotionLab_NTroje::rub002,7.39182922807
direct_vs_jepa_base,interaction_error,BioMotionLab_NTroje::rub023,9.69363647755
direct_vs_jepa_base,interaction_error,BioMotionLab_NTroje::rub044,3.07258082183
direct_vs_jepa_base,interaction_error,BioMotionLab_NTroje::rub053,-4.81228652034
direct_vs_jepa_base,interaction_error,BioMotionLab_NTroje::rub054,1.21520636392
direct_vs_jepa_base,interaction_error,BioMotionLab_NTroje::rub070,14.5816018649
direct_vs_jepa_base,interaction_error,BioMotionLab_NTroje::rub072,-3.67749850229
direct_vs_jepa_base,interaction_error,BioMotionLab_NTroje::rub075,22.6176536373
